epoch,train_loss,eval_loss,eval_seq_acc,learning_rate,elapsed_seconds
1,6.220907604351592,5.6270304203033445,0.0923,0.001,2.192505121231079
2,5.069358289432221,4.783995425701141,0.1553,0.001,1.912688970565796
3,4.310660222087043,4.349798524379731,0.1832,0.001,1.933730125427246
4,3.831364055791983,4.117550259828567,0.2033,0.001,1.8851571083068848
5,3.4906768920703435,3.9769892930984496,0.2113,0.001,2.0298616886138916
6,3.234361751391865,3.887693911790848,0.2165,0.001,1.9069511890411377
7,3.021817585149893,3.8481126368045806,0.2199,0.001,1.9267208576202393
8,2.853375465344316,3.8301679134368896,0.2254,0.001,1.905749797821045
9,2.7107981272017994,3.8038072109222414,0.2267,0.001,1.9583706855773926
10,2.5857480379720084,3.8151407897472382,0.2263,0.001,1.9406228065490723
11,2.481926227910831,3.8172250270843504,0.226,0.001,1.9245619773864746
12,2.3970870392771957,3.8467256307601927,0.225,0.001,1.886354923248291
13,2.3089332572949197,3.8694087684154512,0.2245,0.001,1.928368091583252
14,2.244597965536026,3.8787527561187742,0.2192,0.001,1.9113950729370117
15,2.1805189116694295,3.9010008752346037,0.2153,0.001,1.8898849487304688
16,2.124949929051506,3.9353749752044678,0.2151,0.001,1.936079978942871
17,2.079531700085527,3.9614925026893615,0.2154,0.001,1.8845648765563965
18,2.030117142314728,3.998644453287125,0.2142,0.001,1.976362943649292
19,1.9859582159085014,4.026588314771653,0.2086,0.001,1.8828778266906738
20,1.9520464701393543,4.065768700838089,0.2081,0.001,1.877934217453003
