epoch,train_loss,eval_loss,eval_seq_acc,learning_rate,elapsed_seconds
1,6.064046448412033,5.2700466990470884,0.1228,0.001,3.2517471313476562
2,4.770169002179521,4.57717017531395,0.1694,0.001,2.5329222679138184
3,4.132589179486893,4.264825934171677,0.1913,0.001,2.5458590984344482
4,3.7289635632365656,4.08187490105629,0.2005,0.001,2.542076826095581
5,3.441565899041514,3.985891801118851,0.2124,0.001,2.525819778442383
6,3.2182510333320202,3.9142423808574676,0.2121,0.001,2.5582780838012695
7,3.0382243764286225,3.883502274751663,0.2155,0.001,2.5463762283325195
8,2.8919310310778146,3.8598395347595216,0.222,0.001,2.5609872341156006
9,2.772038754563743,3.8632590889930727,0.2174,0.001,2.6649601459503174
10,2.6674284013315512,3.857702100276947,0.2232,0.001,2.5917840003967285
11,2.5797489938644556,3.8750925064086914,0.2177,0.001,2.6320950984954834
12,2.4975008423716876,3.8921580851078033,0.2141,0.001,2.6600849628448486
13,2.4317512047557406,3.914870595932007,0.2153,0.001,2.7075960636138916
14,2.369969740462379,3.9386787950992583,0.2129,0.001,2.65143084526062
15,2.3174254185856342,3.9426814794540403,0.211,0.001,2.608652114868164
16,2.262255081353477,3.9826924085617064,0.2137,0.001,2.636415958404541
17,2.2203310853757037,3.9964755296707155,0.209,0.001,2.645902156829834
18,2.177808916606842,4.008976656198501,0.212,0.001,2.6729800701141357
19,2.144619147998456,4.037936282157898,0.2048,0.001,2.6051478385925293
20,2.1086486955039416,4.084107357263565,0.2037,0.001,2.5926830768585205
