epoch,train_loss,eval_loss,eval_seq_acc,learning_rate,elapsed_seconds
1,6.259108356012704,5.5865527272224424,0.0074,0.001,2.3509738445281982
2,4.999774197039132,4.738439440727234,0.0221,0.001,2.0640032291412354
3,4.27335386306714,4.3581509470939634,0.0308,0.001,2.061177968978882
4,3.8574505073193923,4.155305582284927,0.0325,0.001,2.0665340423583984
5,3.5802754921654163,4.047973293066025,0.0352,0.001,2.079918146133423
6,3.3798342962234544,3.983826357126236,0.0396,0.001,2.0919008255004883
7,3.2268966782969026,3.9376899361610413,0.0403,0.001,2.051964282989502
8,3.104643666325286,3.9208303928375243,0.0391,0.001,2.0311670303344727
9,3.005557226296812,3.9137094795703886,0.0395,0.001,2.069899082183838
10,2.9225695971101997,3.914587366580963,0.0417,0.001,2.0258569717407227
11,2.853770307839488,3.909554439783096,0.0412,0.001,2.0479660034179688
12,2.7899886213552456,3.9156132340431213,0.0394,0.001,2.0290980339050293
13,2.7382377907871818,3.9233670055866243,0.0408,0.001,2.120224952697754
14,2.6940882236431962,3.940370815992355,0.0414,0.001,2.110931158065796
15,2.652051328470151,3.9511827766895293,0.0408,0.001,2.060441017150879
16,2.6168094961026225,3.956872433423996,0.0399,0.001,2.1838178634643555
17,2.5817494499035916,3.96649854183197,0.0403,0.001,2.0973100662231445
18,2.550868156238105,3.990156763792038,0.0408,0.001,2.16772198677063
19,2.52412236917514,3.9987557411193846,0.0399,0.001,2.131211996078491
20,2.4999790846730194,4.023057371377945,0.0382,0.001,2.190187931060791
