epoch,train_loss,eval_loss,eval_seq_acc,learning_rate,elapsed_seconds
1,6.113298187621485,5.300606417655945,0.01,0.001,3.0078701972961426
2,4.7854922754696005,4.583644676208496,0.0239,0.001,2.6318299770355225
3,4.157643909271533,4.278586840629577,0.0303,0.001,2.3863091468811035
4,3.800557064172178,4.134425723552704,0.0319,0.001,2.4678280353546143
5,3.564477873305543,4.052528923749923,0.0328,0.001,2.540083169937134
6,3.390653008470139,4.0090496897697445,0.0346,0.001,2.563943862915039
7,3.2526151935894267,3.9815310180187224,0.0384,0.001,2.458526134490967
8,3.1456745265010064,3.9712762117385862,0.0364,0.001,2.567621946334839
9,3.058138348424016,3.96666876077652,0.038,0.001,2.600177049636841
10,2.9850284009695813,3.9674423158168795,0.0381,0.001,2.4929728507995605
11,2.923372059965286,3.9640132427215575,0.0378,0.001,2.549943208694458
12,2.8722047287816057,3.9780087769031525,0.0382,0.001,2.538874864578247
13,2.822083831976016,3.9870177268981934,0.036,0.001,2.598262071609497
14,2.784587153992333,4.000942999124527,0.0355,0.001,2.477612018585205
15,2.7478350960789397,3.9997206330299377,0.0358,0.001,2.5247087478637695
16,2.711913351814587,4.0047500193119046,0.0365,0.001,2.4484448432922363
17,2.6823442690669537,4.023324108123779,0.0354,0.001,2.5212738513946533
18,2.6533137525613317,4.039593815803528,0.0366,0.001,2.543316125869751
19,2.6285173710161884,4.058902525901795,0.0327,0.001,2.511942148208618
20,2.605860625593045,4.074033242464066,0.0346,0.001,2.5276601314544678
