epoch,train_loss,eval_loss,eval_seq_acc,learning_rate,elapsed_seconds
1,6.040679441092494,5.376784133911133,0.0005,0.001,2.7578370571136475
2,4.88440376653458,4.681721878051758,0.0022,0.001,2.334746837615967
3,4.284636722205165,4.353476929664612,0.0043,0.001,2.3856430053710938
4,3.9384097116062056,4.179934096336365,0.006,0.001,2.342463970184326
5,3.713723232190068,4.0837915480136875,0.0052,0.001,2.361502170562744
6,3.5581257739387,4.0206648230552675,0.0067,0.001,2.3646609783172607
7,3.438409717699971,3.989963048696518,0.0064,0.001,2.3988301753997803
8,3.3455844740517224,3.9657070875167846,0.0081,0.001,2.344658851623535
9,3.2722608570854503,3.958015036582947,0.0063,0.001,2.388378858566284
10,3.2112648205254404,3.9522821366786958,0.0076,0.001,2.408284902572632
11,3.157814057109455,3.946752017736435,0.0068,0.001,2.380539894104004
12,3.114744872711718,3.949029415845871,0.0057,0.001,2.388139009475708
13,3.0771838613211537,3.94974262714386,0.0057,0.001,2.4318809509277344
14,3.0427730746162585,3.958894282579422,0.0059,0.001,2.408172845840454
15,3.0126817401605672,3.9633878588676454,0.0067,0.001,2.3171257972717285
16,2.9861044761852717,3.9697374522686006,0.0074,0.001,2.372497081756592
17,2.9620101162419914,3.9773765802383423,0.0074,0.001,2.3544538021087646
18,2.9419492525033677,3.9892322719097137,0.0071,0.001,2.3677120208740234
19,2.9206899842515157,4.00085796713829,0.0059,0.001,2.4330081939697266
20,2.9037576148304316,4.012246072292328,0.0061,0.001,2.3081607818603516
