epoch,train_loss,eval_loss,eval_seq_acc,learning_rate,elapsed_seconds
1,5.848089925016458,5.071773409843445,0.0012,0.001,2.840769052505493
2,4.623183756209791,4.460200464725494,0.0029,0.001,2.579087972640991
3,4.102733237293963,4.222561544179916,0.0044,0.001,2.605757236480713
4,3.822253231804211,4.107014489173889,0.0057,0.001,2.5974061489105225
5,3.641917343718556,4.04323211312294,0.0061,0.001,2.551037073135376
6,3.513416295615248,4.007018095254898,0.0067,0.001,2.6604690551757812
7,3.4174020800727627,3.995029491186142,0.0055,0.001,2.6311190128326416
8,3.3402480728710042,3.9811466336250305,0.0058,0.001,2.567237138748169
9,3.281294634547858,3.9738149106502534,0.0065,0.001,2.5318539142608643
10,3.2282890504160626,3.982072424888611,0.0066,0.001,2.504384756088257
11,3.18467565771109,3.983321154117584,0.0056,0.001,2.526153087615967
12,3.1465357149751805,3.986033397912979,0.0062,0.001,2.603848934173584
13,3.1132399525505283,3.9873084008693693,0.0061,0.001,2.453824043273926
14,3.0835972974856443,3.9963211715221405,0.006,0.001,2.522918939590454
15,3.05908290189676,4.0032897055149075,0.0054,0.001,2.492465019226074
16,3.035340995453417,4.013955456018448,0.0067,0.001,2.648448944091797
17,3.013127870833912,4.019718635082245,0.0065,0.001,2.6590142250061035
18,2.9931230362230976,4.027820038795471,0.005,0.001,2.6216161251068115
19,2.9752803618153827,4.038032966852188,0.0063,0.001,2.617954969406128
20,2.959330079654535,4.040582007169723,0.0064,0.001,2.543821096420288
